metric,area,comp,suff
accuracy,0.05,0.959201,0.965197
accuracy,0.075,0.957465,0.972142
accuracy,0.1,0.956597,0.97518
accuracy,0.15,0.954347,0.979601
accuracy,0.5,0.954781,0.995226
accuracy,0.8,0.954781,0.999566
auc,0.05,0.013222,0.019665
auc,0.075,0.00417,0.029453
auc,0.1,0.000942,0.047157
auc,0.15,0.0,0.066243
auc,0.5,0.0,0.10552
auc,0.8,0.0,0.106712
cross_entropy,0.05,0.137345,0.107814
cross_entropy,0.075,0.154,0.09845
cross_entropy,0.1,0.167703,0.094708
cross_entropy,0.15,0.181074,0.089573
cross_entropy,0.5,0.198097,0.083585
cross_entropy,0.8,0.194105,0.083755
