explainer,metric,area,comp,suff
deep_lift,mae,0.03,4.3693,12.8029
deep_lift,mae,0.05,5.9466,11.422
deep_lift,mae,0.08,7.4415,10.1264
deep_lift,mae,0.1,7.9755,9.6965
deep_lift,mae,0.2,8.5843,9.2154
deep_lift,mse,0.03,1.5307,10.3912
deep_lift,mse,0.05,2.8253,9.6991
deep_lift,mse,0.08,4.3671,9.307
deep_lift,mse,0.1,4.9863,9.2207
deep_lift,mse,0.2,5.7996,9.179
feature_ablation,mae,0.03,4.3693,12.8029
feature_ablation,mae,0.05,5.9466,11.422
feature_ablation,mae,0.08,7.4415,10.1264
feature_ablation,mae,0.1,7.9755,9.6965
feature_ablation,mae,0.2,8.5843,9.2154
feature_ablation,mse,0.03,1.5307,10.3912
feature_ablation,mse,0.05,2.8253,9.6991
feature_ablation,mse,0.08,4.3671,9.307
feature_ablation,mse,0.1,4.9863,9.2207
feature_ablation,mse,0.2,5.7996,9.179
gradient_shap,mae,0.03,4.3693,12.8029
gradient_shap,mae,0.05,5.9466,11.422
gradient_shap,mae,0.08,7.4415,10.1264
gradient_shap,mae,0.1,7.9755,9.6965
gradient_shap,mae,0.2,8.5843,9.2154
gradient_shap,mse,0.03,1.5307,10.3912
gradient_shap,mse,0.05,2.8253,9.6991
gradient_shap,mse,0.08,4.3671,9.307
gradient_shap,mse,0.1,4.9863,9.2207
gradient_shap,mse,0.2,5.7996,9.179
integrated_gradients,mae,0.03,4.3693,12.8029
integrated_gradients,mae,0.05,5.9466,11.422
integrated_gradients,mae,0.08,7.4415,10.1264
integrated_gradients,mae,0.1,7.9755,9.6965
integrated_gradients,mae,0.2,8.5843,9.2154
integrated_gradients,mse,0.03,1.5307,10.3912
integrated_gradients,mse,0.05,2.8253,9.6991
integrated_gradients,mse,0.08,4.3671,9.307
integrated_gradients,mse,0.1,4.9863,9.2207
integrated_gradients,mse,0.2,5.7996,9.179
lime,mae,0.03,3.8643,13.179
lime,mae,0.05,4.8027,12.4278
lime,mae,0.08,5.4576,11.8304
lime,mae,0.1,5.7366,11.5753
lime,mae,0.2,6.749,10.6369
lime,mse,0.03,1.2708,10.5721
lime,mse,0.05,1.962,10.068
lime,mse,0.08,2.4852,9.6848
lime,mse,0.1,2.709,9.5343
lime,mse,0.2,3.5518,8.9824
